Type,EDI_Std_Nomenclature,W,A,Ht,h,B,b,tnom,tdes,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J
HSS,,32.0,3880,102.0,66.0,102.0,66.0,12.7,11.8,4.95,126.0,97.8,35.8,4.95,126.0,97.8,35.8,8740.0
HSS,,25.6,3080,102.0,74.9,102.0,74.9,9.53,8.86,4.29,105.0,84.1,37.3,4.29,105.0,84.1,37.3,7280.0
HSS,,22.0,2650,102.0,79.5,102.0,79.5,7.94,7.39,3.8,91.6,74.9,37.8,3.8,91.6,74.9,37.8,6370.0
HSS,,18.1,2170,102.0,83.8,102.0,83.8,6.35,5.92,3.25,76.9,63.9,38.6,3.25,76.9,63.9,38.6,5330.0
HSS,,14.0,1660,102.0,88.4,102.0,88.4,4.76,4.42,2.58,60.1,50.8,39.4,2.58,60.1,50.8,39.4,4160.0
HSS,,9.59,1140,102.0,92.7,102.0,92.7,3.18,2.95,1.83,42.0,36.1,40.1,1.83,42.0,36.1,40.1,2880.0
HSS,,21.8,2640,102.0,74.9,76.2,49.5,9.53,8.86,3.3,83.9,65.1,35.3,2.09,68.5,54.7,28.2,4410.0
HSS,,18.8,2270,102.0,79.5,76.2,54.1,7.94,7.39,2.97,73.9,58.5,36.1,1.88,60.5,49.5,28.7,3920.0
HSS,,15.6,1880,102.0,83.8,76.2,58.4,6.35,5.92,2.56,62.4,50.3,36.8,1.63,51.1,42.8,29.5,3310.0
HSS,,12.1,1450,102.0,88.4,76.2,63.0,4.76,4.42,2.05,49.2,40.5,37.8,1.32,40.3,34.4,30.2,2610.0
HSS,,8.33,994,102.0,92.7,76.2,67.3,3.18,2.95,1.47,34.6,28.8,38.6,0.945,28.3,24.7,30.7,1820.0
HSS,,14.3,1720,102.0,83.8,63.5,45.7,6.35,5.92,2.21,55.4,43.6,35.8,1.05,39.8,33.1,24.7,2410.0
HSS,,11.2,1330,102.0,88.4,63.5,50.3,4.76,4.42,1.79,43.8,35.2,36.6,0.857,31.6,27.0,25.4,1910.0
HSS,,7.7,916,102.0,92.7,63.5,54.6,3.18,2.95,1.29,30.8,25.2,37.3,0.62,22.3,19.5,26.2,1340.0
HSS,,18.0,2190,102.0,74.9,50.8,24.2,9.53,8.86,2.33,62.9,45.9,32.8,0.749,37.9,29.5,18.5,2010.0
HSS,,15.7,1900,102.0,79.5,50.8,28.7,7.94,7.39,2.14,56.2,42.0,33.5,0.695,34.1,27.4,19.2,1830.0
HSS,,13.1,1570,102.0,83.8,50.8,33.0,6.35,5.92,1.87,48.2,36.9,34.5,0.616,29.3,24.3,19.8,1590.0
HSS,,10.2,1220,102.0,88.4,50.8,37.6,4.76,4.42,1.52,38.3,30.0,35.3,0.508,23.4,20.0,20.4,1280.0
HSS,,7.06,839,102.0,92.7,50.8,41.9,3.18,2.95,1.1,27.2,21.6,36.3,0.374,16.7,14.7,21.1,916.0
HSS,,11.8,1430,102.0,83.8,38.1,20.3,6.35,5.92,1.52,41.0,30.0,32.8,0.305,19.8,16.0,14.6,891.0
HSS,,9.27,1100,102.0,88.4,38.1,24.8,4.78,4.42,1.26,32.9,24.7,33.8,0.258,16.1,13.6,15.3,741.0
HSS,,6.44,768,102.0,92.7,38.1,29.2,3.18,2.95,0.92,23.4,18.2,34.5,0.194,11.6,10.2,15.9,541.0
HSS,,21.8,2640,88.9,62.2,88.9,62.2,9.53,8.86,2.7,76.9,60.8,32.0,2.7,76.9,60.8,32.0,4660.0
HSS,,18.8,2270,88.9,66.8,88.9,66.8,7.94,7.39,2.43,67.8,54.7,32.8,2.43,67.8,54.7,32.8,4120.0
HSS,,15.6,1880,88.9,71.1,88.9,71.1,6.35,5.92,2.1,57.4,47.2,33.5,2.1,57.4,47.2,33.5,3480.0
HSS,,12.1,1450,88.9,75.7,88.9,75.7,4.76,4.42,1.69,45.2,37.9,34.3,1.69,45.2,37.9,34.3,2730.0
HSS,,8.33,994,88.9,80.0,88.9,80.0,3.18,2.95,1.21,31.6,27.2,34.8,1.21,31.6,27.2,34.8,1910.0
HSS,,18.0,2190,88.9,62.2,63.5,36.8,9.53,8.86,1.98,58.8,44.5,30.1,1.15,46.3,36.3,23.0,2560.0
HSS,,15.6,1900,88.9,66.8,63.5,41.4,7.94,7.39,1.81,52.5,40.7,30.9,1.06,41.4,33.3,23.6,2300.0
HSS,,13.1,1570,88.9,71.1,63.5,45.7,6.35,5.92,1.58,44.8,35.5,31.7,0.928,35.4,29.2,24.3,1980.0
HSS,,10.2,1220,88.9,75.7,63.5,50.3,4.76,4.42,1.29,35.7,28.9,32.5,0.76,28.3,23.9,25.0,1570.0
HSS,,7.07,839,88.9,80.0,63.5,54.6,3.18,2.95,0.929,25.3,20.9,33.2,0.553,20.1,17.4,25.6,1110.0
HSS,,11.8,1430,88.9,71.1,50.8,33.0,6.35,5.92,1.32,38.7,29.7,30.5,0.541,25.9,21.3,19.5,1320.0
HSS,,9.27,1100,88.9,75.7,50.8,37.6,4.76,4.42,1.09,31.0,24.4,31.2,0.45,20.8,17.7,20.1,1060.0
HSS,,6.43,768,88.9,80.0,50.8,41.9,3.18,2.95,0.791,22.0,17.9,32.3,0.331,14.9,13.0,20.8,762.0
HSS,,10.5,1270,88.9,71.1,38.1,20.3,6.35,5.92,1.06,32.4,23.9,29.0,0.266,17.4,13.9,14.5,745.0
HSS,,8.31,994,88.9,75.7,38.1,24.8,4.76,4.42,0.882,26.2,19.8,29.7,0.226,14.2,11.9,15.1,620.0
HSS,,5.8,690,88.9,80.0,38.1,29.2,3.18,2.95,0.653,18.8,14.7,30.7,0.171,10.3,8.98,15.7,454.0
HSS,,18.0,2190,76.2,49.5,76.2,49.5,9.53,8.86,1.57,53.3,41.3,26.9,1.57,53.3,41.3,26.9,2760.0
HSS,,15.7,1900,76.2,54.1,76.2,54.1,7.94,7.39,1.44,47.5,37.7,27.4,1.44,47.5,37.7,27.4,2470.0
HSS,,13.1,1570,76.2,58.4,76.2,58.4,6.35,5.92,1.26,40.6,32.9,28.2,1.26,40.6,32.9,28.2,2110.0
HSS,,10.2,1220,76.2,63.0,76.2,63.0,4.76,4.42,1.02,32.3,26.9,29.0,1.02,32.3,26.9,29.0,1680.0
HSS,,7.06,839,76.2,67.3,76.2,67.3,3.18,2.95,0.741,22.9,19.5,29.7,0.741,22.9,19.5,29.7,1180.0
HSS,,14.1,1700,76.2,54.1,63.5,41.4,7.94,7.39,1.22,41.1,31.8,26.7,0.907,36.1,28.5,23.1,1810.0
HSS,,11.8,1430,76.2,58.4,63.5,45.7,6.35,5.92,1.07,35.4,28.2,27.4,0.803,31.1,25.2,23.7,1560.0
HSS,,9.27,1100,76.2,63.0,63.5,50.3,4.76,4.42,0.878,28.3,23.1,28.2,0.662,24.9,20.8,24.5,1250.0
HSS,,6.43,768,76.2,67.3,63.5,54.6,3.18,2.95,0.641,20.2,16.9,29.0,0.483,17.9,15.3,25.1,887.0
HSS,,12.5,1520,76.2,54.1,50.8,28.7,7.94,7.39,0.991,34.6,26.1,25.7,0.516,25.9,20.3,18.4,1190.0
HSS,,10.5,1270,76.2,58.4,50.8,33.0,6.35,5.92,0.887,30.0,23.3,26.4,0.462,22.6,18.2,19.1,1050.0
HSS,,8.31,994,76.2,63.0,50.8,37.6,4.76,4.42,0.737,24.3,19.3,27.2,0.388,18.4,15.3,19.8,853.0
HSS,,5.8,690,76.2,67.3,50.8,41.9,3.18,2.95,0.541,17.4,14.2,27.9,0.288,13.2,11.3,20.4,612.0
HSS,,9.26,1120,76.2,58.4,38.1,20.3,6.35,5.92,0.699,24.7,18.4,24.9,0.226,14.9,11.9,14.2,599.0
HSS,,7.36,884,76.2,63.0,38.1,24.8,4.76,4.42,0.591,20.3,15.5,25.9,0.194,12.3,10.2,14.8,504.0
HSS,,5.16,617,76.2,67.3,38.1,29.2,3.18,2.95,0.441,14.7,11.6,26.7,0.148,9.01,7.77,15.5,369.0
HSS,,6.41,768,76.2,63.0,25.4,12.1,4.76,4.42,0.445,16.2,11.7,24.1,0.072,7.08,5.65,9.65,219.0
HSS,,4.53,542,76.2,67.3,25.4,16.6,3.18,2.95,0.34,11.9,8.93,25.1,0.0574,5.33,4.52,10.3,170.0
HSS,,12.5,1520,63.5,41.4,63.5,41.4,7.94,7.39,0.758,30.8,23.9,22.4,0.758,30.8,23.9,22.4,1330.0
HSS,,10.5,1270,63.5,45.7,63.5,45.7,6.35,5.92,0.678,26.7,21.3,23.1,0.678,26.7,21.3,23.1,1160.0
HSS,,8.3,994,63.5,50.3,63.5,50.3,4.76,4.42,0.562,21.6,17.7,23.8,0.562,21.6,17.7,23.8,937.0
HSS,,5.8,690,63.5,54.6,63.5,54.6,3.18,2.95,0.415,15.5,13.1,24.5,0.415,15.5,13.1,24.5,670.0
HSS,,9.26,1120,63.5,45.7,50.8,33.0,6.35,5.92,0.554,22.5,17.4,22.2,0.387,19.2,15.2,18.6,791.0
HSS,,7.36,884,63.5,50.3,50.8,37.6,4.76,4.42,0.466,18.4,14.7,23.0,0.327,15.7,12.9,19.3,645.0
HSS,,5.16,617,63.5,54.6,50.8,41.9,3.18,2.95,0.347,13.3,10.9,23.7,0.245,11.4,9.65,19.9,466.0
HSS,,8.0,974,63.5,45.7,38.1,20.3,6.35,5.92,0.429,18.2,13.5,21.0,0.187,12.5,9.82,13.9,458.0
HSS,,6.41,768,63.5,50.3,38.1,24.8,4.76,4.42,0.367,15.0,11.6,21.8,0.162,10.4,8.52,14.5,387.0
HSS,,4.53,542,63.5,54.6,38.1,29.2,3.18,2.95,0.278,11.0,8.77,22.7,0.125,7.69,6.54,15.2,286.0
HSS,,5.46,658,63.5,50.3,25.4,12.1,4.76,4.42,0.269,11.7,8.47,20.2,0.0595,5.9,4.67,9.5,171.0
HSS,,3.9,467,63.5,54.6,25.4,16.6,3.18,2.95,0.209,8.72,6.6,21.2,0.0479,4.49,3.77,10.1,134.0
HSS,,9.26,1120,57.2,39.4,57.2,39.4,6.35,5.92,0.47,21.0,16.6,20.5,0.47,21.0,16.6,20.5,816.0
HSS,,7.35,884,57.2,43.9,57.2,43.9,4.76,4.42,0.397,17.0,13.9,21.2,0.397,17.0,13.9,21.2,666.0
HSS,,5.16,617,57.2,48.3,57.2,48.3,3.18,2.95,0.296,12.4,10.4,21.9,0.296,12.4,10.4,21.9,479.0
HSS,,8.0,974,50.8,33.0,50.8,33.0,6.35,5.92,0.311,15.8,12.2,17.9,0.311,15.8,12.2,17.9,545.0
HSS,,6.4,768,50.8,37.6,50.8,37.6,4.76,4.42,0.267,13.1,10.5,18.6,0.267,13.1,10.5,18.6,454.0
HSS,,4.53,542,50.8,41.9,50.8,41.9,3.18,2.95,0.202,9.57,7.96,19.3,0.202,9.57,7.96,19.3,331.0
HSS,,5.46,658,50.8,37.6,38.1,24.8,4.76,4.42,0.206,10.5,8.11,17.7,0.13,8.54,6.83,14.1,276.0
HSS,,3.9,467,50.8,41.9,38.1,29.2,3.18,2.95,0.159,7.78,6.28,18.5,0.102,6.37,5.33,14.8,206.0
HSS,,4.51,545,50.8,37.6,25.4,12.1,4.76,4.42,0.146,7.87,5.74,16.3,0.0466,4.72,3.69,9.27,125.0
HSS,,3.26,392,50.8,41.9,25.4,16.6,3.18,2.95,0.117,6.0,4.59,17.2,0.0384,3.65,3.02,9.91,99.1
HSS,,5.52,671,38.1,20.3,38.1,20.3,6.35,5.92,0.108,7.69,5.67,12.7,0.108,7.69,5.67,12.7,196.0
HSS,,4.52,545,38.1,24.8,38.1,24.8,4.78,4.42,0.0982,6.65,5.16,13.4,0.0982,6.65,5.16,13.4,172.0
HSS,,3.27,392,38.1,29.2,38.1,29.2,3.18,2.95,0.0783,5.06,4.11,14.1,0.0783,5.06,4.11,14.1,132.0
